Number persons been in that stage for that many days.
Age Group,Stage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,208556,182167,158887,139229,121137,105202,91561,79685,68904,59080,51021,44176,38117,32257,27675,23840,20491,17339,14781,12317,10345,8874,7417,6006,5082,4302,3418,2977,2391,1974,1609,1275,1081,827,683,559,447,372,292,222,185,146,136,81,72,67,44,36,28,24,19,11,13,7,9,5,5,4,4,3,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,372944,243700,159195,103794,67212,43845,28549,18273,11787,7549,4808,3015,2004,1305,817,492,316,237,143,83,46,31,21,17,9,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_MILD,0,37356,33585,30850,27593,25141,22513,20085,18350,16459,14507,12746,11607,10247,9016,7950,6878,6091,5455,4681,4036,3552,3086,2701,2340,1886,1705,1467,1253,1047,848,754,603,516,439,383,331,262,222,188,173,134,105,73,76,54,61,33,30,36,22,21,15,12,11,5,10,4,6,4,3,1,2,2,0,2,1,2,1,2,3,0,1,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,HEALTHY,0,478,534,563,600,678,778,863,928,1047,1141,1247,1418,1568,1718,1850,2121,2425,2540,2910,3296,3624,3948,4460,4907,5472,6136,6898,7503,8265,9275,10289,11426,12496,13767,15459,16870,18392,20395,22085,24089,26214,28209,30771,33309,35779,37838,40578,42600,45607,47437,49586,51603,53470,54783,56469,56707,58261,58213,58950,58220,58250,56632,55682,54063,52053,49539,48290,45648,43720,40694,38841,36029,33763,31413,29468,26795,24866,22814,21318,19202
Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,228710,199638,174303,152271,131844,114757,99102,85864,74718,64925,55743,47556,40743,34969,30020,25627,21710,18280,15327,12746,10934,9112,7604,6202,5344,4314,3680,2952,2389,1986,1658,1351,1043,817,707,544,429,352,283,223,181,142,102,100,79,51,49,38,39,19,17,12,14,18,9,7,4,3,5,3,3,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,404917,263872,172133,111452,72673,46998,30248,19381,12550,8123,5204,3354,2137,1377,819,533,321,217,120,83,42,25,26,6,9,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_MILD,0,39934,36192,33152,29526,26547,24029,21540,19413,17162,15349,13454,12217,10589,9267,8325,7056,6245,5431,4656,4200,3576,3051,2709,2294,1903,1674,1457,1222,1083,873,720,632,494,471,387,312,258,225,165,189,151,128,105,75,60,47,55,38,31,30,23,17,19,11,8,15,6,6,6,5,2,5,2,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,4,4,4,1,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,1,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_20_29,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,HEALTHY,0,485,507,555,633,678,766,822,890,997,1178,1230,1468,1450,1692,1849,2149,2345,2577,2926,3259,3543,3973,4302,4905,5333,5984,6809,7452,8429,9189,10066,11376,12230,13726,14807,16708,18098,19832,21571,23859,25672,28121,30147,32694,34673,37527,39425,42182,44150,46462,48590,50556,52265,54092,54917,56313,56323,56896,56865,56582,56016,54577,53661,51762,50459,48057,46225,43629,41314,38679,36814,34155,31503,29414,27243,25001,22737,21112,19449,17455
Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,222040,192855,168227,147555,128611,111424,96741,83966,72603,62867,53987,46145,39795,33996,29023,24609,21123,17766,14919,12653,10661,8838,7353,6143,5075,4173,3508,2972,2359,1982,1522,1276,1067,862,685,534,448,321,263,229,181,151,126,78,74,55,38,42,22,23,10,16,12,6,7,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,393322,255984,166971,108209,70080,45924,29808,18832,12299,7880,5049,3162,2044,1282,841,512,330,197,146,83,57,37,21,12,8,4,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_MILD,0,38960,35375,31994,29156,25930,23455,20946,18798,16850,15079,13388,11771,10461,9193,8136,7133,6157,5411,4662,4013,3575,3111,2509,2196,1992,1587,1393,1075,984,843,731,600,543,443,399,320,258,228,175,135,142,95,81,64,58,66,55,40,26,39,21,15,16,7,12,6,6,9,7,3,8,3,2,2,2,2,2,0,1,1,2,0,0,0,1,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,7,4,5,9,7,6,10,1,5,2,3,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,1,4,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_30_39,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,HEALTHY,0,516,495,549,605,667,732,785,911,984,1101,1170,1372,1495,1589,1728,2003,2130,2441,2603,2895,3186,3608,4030,4477,4839,5451,5878,6768,7291,8083,8884,9932,11011,12101,13009,14770,15780,17751,19075,21069,23056,24844,26789,29600,31272,33870,36248,39090,40670,43373,45767,48044,49940,51885,54157,54792,56494,57453,58148,58113,58404,57889,57938,56349,55280,53907,51991,50161,48262,45518,43558,41041,39148,36701,33798,32002,29930,27596,25329,23861
Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,227751,198208,172505,149569,129280,112453,97279,84101,71883,61809,52966,45261,39103,33039,28019,23748,19916,16870,14320,11923,10065,8245,6777,5683,4851,3857,3132,2589,2123,1738,1385,1166,931,762,611,499,367,302,258,203,158,127,82,59,62,62,45,32,23,22,13,10,14,5,2,5,4,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,392179,255376,166427,107341,69281,44712,28995,18778,11992,7590,4782,3125,1943,1266,803,468,310,160,124,79,42,29,22,10,8,3,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_MILD,0,38740,34684,31673,28180,25459,22858,20129,17881,16167,14222,12643,11025,9871,8683,7561,6554,5658,4953,4351,3668,3244,2761,2387,2115,1761,1514,1301,1050,935,795,650,542,464,383,343,265,244,188,167,132,108,102,100,53,47,62,33,38,19,31,21,22,15,10,9,13,5,4,3,1,6,4,1,1,0,2,1,5,3,0,0,1,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,18,13,11,17,9,14,7,7,9,8,8,5,3,3,6,1,3,3,3,0,2,4,1,0,2,3,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_40_49,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,HEALTHY,0,520,593,578,657,712,782,828,936,994,1140,1228,1387,1573,1725,1848,2085,2180,2559,2776,3114,3349,3853,4232,4729,5186,5851,6410,7154,7799,8558,9583,10844,11761,12884,14278,15742,17159,18887,20632,22768,24347,26907,28796,31671,33597,36821,38948,41728,43861,47262,49301,51942,53853,56142,57701,59435,60804,62181,63121,63604,63251,63366,62314,61963,61073,59532,56941,55405,53150,51016,48466,45963,43549,41274,39086,35728,33876,31318,29224,27295
Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,248944,216118,187520,162796,141253,121551,104987,91098,78522,66774,57759,49182,42106,36070,30377,25611,21657,18134,15397,12849,10791,8893,7379,6105,5031,4171,3365,2694,2328,1809,1545,1281,971,751,632,510,400,373,317,222,156,119,119,90,68,51,43,29,35,26,20,23,13,5,9,8,9,1,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,426066,276791,180537,116222,75537,48606,31378,20048,12698,8087,5169,3337,2087,1262,884,544,329,215,153,70,39,29,30,19,5,4,6,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_MILD,0,42025,38171,33815,30752,27556,24440,21890,19469,17112,15428,13535,11977,10468,9243,8101,7040,6121,5384,4536,3910,3433,2851,2622,2127,1956,1573,1381,1187,971,848,677,679,513,425,343,321,255,208,171,170,129,115,76,60,66,54,47,45,35,31,17,15,14,12,10,6,6,8,3,4,6,4,5,2,1,3,2,0,1,0,2,0,0,0,1,0,1,0,0,1
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,53,46,37,33,30,28,32,25,19,11,16,7,7,10,10,14,4,5,3,2,5,5,5,2,3,2,2,5,1,0,0,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_50_59,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,HEALTHY,0,272,302,262,332,379,427,447,504,548,587,597,644,769,807,975,934,1089,1095,1226,1436,1510,1587,1933,2030,2202,2530,2653,2990,3247,3805,4071,4539,4884,5557,5854,6532,7149,8063,8659,9747,10644,11646,12662,13861,15149,16637,17912,19281,20599,22478,23651,25509,26573,28304,30019,31663,32610,34484,35512,36753,38054,39043,38870,40318,40866,41071,41137,41192,41127,40203,39619,39413,38733,37573,36665,35879,34646,33307,32578,31122
Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,152325,131530,112937,96646,83217,70948,60493,51331,43718,37334,31622,26650,22394,18671,15623,13068,10821,9249,7564,6269,5207,4197,3554,2877,2411,1809,1565,1272,1021,879,689,557,455,356,275,236,165,157,142,97,76,61,44,37,31,31,24,22,11,12,2,3,7,4,5,3,3,2,1,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,243145,156327,99747,64188,40846,26041,16388,10494,6735,4185,2678,1712,1065,645,416,255,176,82,60,44,22,12,9,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_MILD,0,23120,20439,18346,16186,14509,13116,11235,9865,8783,7699,6705,5810,5062,4484,3754,3238,2878,2476,2090,1785,1526,1398,1147,1009,819,675,621,531,474,391,285,254,208,173,169,138,123,82,67,65,69,65,45,31,38,26,21,24,20,15,12,11,6,8,7,4,3,2,5,2,3,0,0,0,1,2,0,1,0,4,0,1,1,0,1,1,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,56,57,50,54,41,46,39,28,34,16,20,15,9,15,10,8,5,9,4,10,9,8,7,5,5,2,3,1,3,0,3,2,1,2,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,31,37,22,20,19,13,13,4,9,6,12,1,2,4,5,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_60_69,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,HEALTHY,0,136,157,142,178,194,185,213,230,224,254,302,315,318,388,433,463,481,518,612,661,738,768,846,949,1045,1168,1279,1440,1612,1753,1923,2135,2374,2726,2817,3226,3585,3870,4198,4817,5246,5726,6217,6699,7523,8046,8732,9605,10275,11068,12008,12827,13840,14488,15162,16434,17061,17893,19208,19576,20791,20997,21662,22052,22617,23103,23458,23705,23763,23826,24081,23511,23380,23162,23014,22749,22195,21795,21391,20782
Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,83920,72385,62014,53160,45234,38278,32768,27538,23250,19608,16327,14009,11595,9819,8164,6712,5570,4641,3850,3183,2555,2125,1794,1415,1195,940,776,621,503,401,313,250,194,183,146,111,87,75,53,63,41,26,29,16,18,9,13,12,7,6,7,1,5,1,3,1,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,130829,83633,52996,34219,21557,13808,8575,5435,3383,2162,1412,895,512,338,207,129,94,44,35,20,14,6,7,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
