OHHH,stage,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752187,0,0,0.027131842,0.017115971
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999926,0,7.04E-05,0.099929642
Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999926,7.04E-05,0.099929642
Age_50_59,CURED,0,0,0,0,0,0,0,1,0
Age_50_59,DEAD,0,0,0,0,0,0,0,0,1
Age_60_69,HEALTHY,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.026009794,0.882575103,0.091415102,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012197139,0,0.666661823,0.321141038,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_MILD,0.050261086499999996,0,0,0.93022612,0.000538334,0.002220764,0,0.0167536955,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752245,0,0,0.020342211,0.023905544
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999319,0,1.11E-18,0.100000681
Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999319,1.11E-18,0.100000681
Age_60_69,CURED,0,0,0,0,0,0,0,1,0
Age_60_69,DEAD,0,0,0,0,0,0,0,0,1
Age_70_79,HEALTHY,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025991606,0.88257348,0.091434914,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012266962,0,0.666667678,0.321065359,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_MILD,0.0478686945,0,0,0.930225709,0.001308603,0.004640762,0,0.0159562315,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752414,0,0,0.01242087,0.031826716
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.8999989,0,0,0.1000011
Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.8999989,0,0.1000011
Age_70_79,CURED,0,0,0,0,0,0,0,1,0
Age_70_79,DEAD,0,0,0,0,0,0,0,0,1
Age_80_150,HEALTHY,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.026003194,0.882574217,0.091422589,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012230249,0,0.666666389,0.321103362,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_MILD,0.0445115385,0,0,0.93022514,0.000292242,0.0101339,0,0.0148371795,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.95575269,0,0,0.003367924,0.040879386
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900001315,0,0.000763083,0.099235601
Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900001315,0.000763083,0.099235601
Age_80_150,CURED,0,0,0,0,0,0,0,1,0
Age_80_150,DEAD,0,0,0,0,0,0,0,0,1
