OHHH,stage,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
Age_40_49,INFECTED_SYMPTOMS_MILD,0.00046744725,0,0,0.930226152,7.80E-05,0.069072632,0,0.00015581575,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752208,0,0,0.032789804,0.011457988
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900003055,0,0.099375669,0.000621276
Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900003055,0.099375669,0.000621276
Age_40_49,CURED,0,0,0,0,0,0,0,1,0
Age_40_49,DEAD,0,0,0,0,0,0,0,0,1
Age_50_59,HEALTHY,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022097363,0.882574571,0.095328067,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076699727,0,0.666665568,0.256634704,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_MILD,0.00042561750000000005,0,0,0.930226062,0.000187117,0.069019331,0,0.0001418725,0
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752175,0,0,0.027131926,0.017115899
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.90000159,0,0.097998182,0.002000228
Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.90000159,0.097998182,0.002000228
Age_50_59,CURED,0,0,0,0,0,0,0,1,0
Age_50_59,DEAD,0,0,0,0,0,0,0,0,1
Age_60_69,HEALTHY,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022104642,0.882574428,0.095320929,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076691822,0,0.666662826,0.256645352,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_MILD,0.00029463975,0,0,0.930225993,0.000537498,0.068843655,0,9.821325e-05,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752246,0,0,0.020342253,0.023905501
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999034,0,0.09458511,0.005415856
Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999034,0.09458511,0.005415856
Age_60_69,CURED,0,0,0,0,0,0,0,1,0
Age_60_69,DEAD,0,0,0,0,0,0,0,0,1
Age_70_79,HEALTHY,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022100985,0.882573792,0.095325222,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076695119,0,0.666670094,0.256634788,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_MILD,0.0,0,0,0.930226016,0.001308577,0.068465407,0,0.0,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752404,0,0,0.01242082,0.031826776
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899996303,0,0.088338324,0.011665373
Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899996303,0.088338324,0.011665373
Age_70_79,CURED,0,0,0,0,0,0,0,1,0
Age_70_79,DEAD,0,0,0,0,0,0,0,0,1
Age_80_150,HEALTHY,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022071591,0.882574115,0.095354294,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076773917,0,0.66666527,0.256560812,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_MILD,0.0,0,0,0.930226233,0.000294488,0.069479279,0,0.0,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752598,0,0,0.003367681,0.040879722
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899994904,0,0.076626146,0.02337895
Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899994904,0.076626146,0.02337895
Age_80_150,CURED,0,0,0,0,0,0,0,1,0
Age_80_150,DEAD,0,0,0,0,0,0,0,0,1
