OHHH,stage,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.095333569,0,0.666670191,0.237996239,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_MILD,0.052077228,0,0,0.930226462,7.84E-05,0.000258792,0,0.017359076,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752223,0,0,0.032789746,0.011458031
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900000044,0,1.14E-05,0.099988574
Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900000044,1.14E-05,0.099988574
Age_40_49,CURED,0,0,0,0,0,0,0,1,0
Age_40_49,DEAD,0,0,0,0,0,0,0,0,1
Age_50_59,HEALTHY,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.014628859,0.882573836,0.102797305,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.095353699,0,0.666666529,0.237979771,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_MILD,0.0515633745,0,0,0.930226302,0.000187254,0.000835278,0,0.0171877915,0
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752185,0,0,0.027131861,0.017115955
Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999989,0,3.02E-05,0.099969769
Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999989,3.02E-05,0.099969769
Age_50_59,CURED,0,0,0,0,0,0,0,1,0
Age_50_59,DEAD,0,0,0,0,0,0,0,0,1
Age_60_69,HEALTHY,0,0,0,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.014636219,0.882573772,0.102790009,0,0,0,0,0,0
Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.095333915,0,0.666667353,0.237998732,0,0,0,0,0
Age_60_69,INFECTED_SYMPTOMS_MILD,0.05026169475,0,0,0.930225972,0.00053707,0.002221365,0,0.01675389825,0
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752242,0,0,0.020342254,0.023905504
Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900000255,0,6.64E-19,0.099999745
Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900000255,6.64E-19,0.099999745
Age_60_69,CURED,0,0,0,0,0,0,0,1,0
Age_60_69,DEAD,0,0,0,0,0,0,0,0,1
Age_70_79,HEALTHY,0,0,0,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.014657623,0.882574373,0.102768004,0,0,0,0,0,0
Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.095291334,0,0.666664233,0.238044433,0,0,0,0,0
Age_70_79,INFECTED_SYMPTOMS_MILD,0.04786983524999999,0,0,0.930225463,0.001307377,0.004640713,0,0.01595661175,0
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752422,0,0,0.012420946,0.031826633
Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900000268,0,6.86E-20,0.099999732
Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900000268,6.86E-20,0.099999732
Age_70_79,CURED,0,0,0,0,0,0,0,1,0
Age_70_79,DEAD,0,0,0,0,0,0,0,0,1
Age_80_150,HEALTHY,0,0,0,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.014630627,0.882573528,0.102795844,0,0,0,0,0,0
Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.095348651,0,0.666669633,0.237981716,0,0,0,0,0
Age_80_150,INFECTED_SYMPTOMS_MILD,0.044571085499999996,0,0,0.930225208,0.000292529,0.010054149,0,0.0148570285,0
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752713,0,0,0.003367993,0.040879294
Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999815,0,9.65E-19,0.100000185
Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999815,9.65E-19,0.100000185
Age_80_150,CURED,0,0,0,0,0,0,0,1,0
Age_80_150,DEAD,0,0,0,0,0,0,0,0,1
